内容,时间
这里人少，微博那里早就有求助贴了,2023-02-05 16:57
去找自己系学长学姐问问，线上课好混，线下课可能要点名，不过想学点东西还是线下好，看你的时间安排和个人兴趣了,2023-02-05 17:32
嫌麻烦就选网课，在寝室挂下视频就行了，不嫌麻烦可以根据自己的兴趣选线下,2023-02-06 10:33
兄弟我想问问两个学期选四门线上可以吗，还是必须要两门线上两门线下的,2023-02-16 08:42
请问各位吧友，在咱们学校附近开个水果店怎么样？有没有需求，开在哪比较合适#水果##郑州大学##郑大##河南工业大学##美食#,2023-02-13 09:30
来菊园开，菊园啥都没有,2023-02-13 10:13
没有蔬菜水果店一类的吗？生鲜超市啥的？,2023-02-13 11:07
走量很难  基本都在校内买   消费能力有限都是按个买,2023-02-13 13:53
需要论文查重，加v：18629678710联系,2023-02-16 19:10
,2023-02-16 17:11
想问一下各位学长学姐，生物专业保研有什么要求，有什么硬性条件，有什么加分项，感谢感谢,2023-02-16 16:52
可以接受贴吧负责人加我检查的，要是负责人觉得不妥后面载删除也可以，我的威信JieYouXGZ,2023-02-15 22:41
想问一下，郑大现在还是不对外开放吗,2023-02-16 16:15
,2023-02-16 15:47
买了个霍格沃茨之遗想耍一耍，结果一打开就闪退，上网上查了说是要更改虚拟内存，然后我就去改，可是死活改不动，一直默认7个g的虚拟内存改不了，也没法删掉，也没法增加，连转移都转移不了，一重启就提示什么未分页啥的，然后就又变成7个g了，我人都麻了，有没有懂的人帮帮我，到底怎么把这nt虚拟内存改了。,2023-02-13 23:20
上面那个小勾我也取消掉了，也把c盘改成未分页了，也在其他盘符设置自定义，一重启***回去了，我都快麻了，求求来个懂哥帮帮我吧。,2023-02-13 23:22
是不是因为我是麻瓜，没有资格学魔法?,2023-02-13 23:24
顶,2023-02-13 23:35
你多少内存 16g？ 听说这游戏得至少32g才流畅,2023-02-13 23:51
图图呢,2023-02-14 08:11
对不起，做不到,2023-02-14 08:38
按网上的改就行，我改了32g虚拟内存没出啥问题,2023-02-14 08:47
别按网上的乱搞，先把你电脑的配置发出来看看，好多不懂电脑的人为了热度乱发攻略，误导一众电脑小白,2023-02-14 11:03
,2023-02-16 14:17
有没有小伙伴缺少室友的呀，女生，不接受混合宿舍！一个人租房子太贵了，个人爱干净，希望找个室友合租。或者有床位的推荐也可以，谢谢啦,2022-06-16 17:20
咋还未婚 已婚有啥啊,2022-06-16 18:44
研究生宿舍床位出租，有需要留个联系方式,2022-06-16 19:54
你想在哪里租，我也在找合租室友，不知道方便不,2022-06-18 13:52
出租郑州大学家属院一楼,2022-06-18 19:41
荷园商业街旺铺出租，13838350679,2022-09-28 12:08
转租郑大、工大旁谦祥·万和城B区单间。月租280元，水费均摊，电费自负，网费免费，四面实体墙，合租户安静不闹，有大窗，12平，还有6个月到期(可提前搬离)，有意者电联:130-6959-0535。,2023-02-08 12:22
郑大东门翰林国际城，考研房，现空余一间主卧带阳台的房间，中间楼层，采光很好。室友是在小区北门对面的自习室学习，都很安静。有无线网，有厨房能做饭。需要的加我微15638193310,2023-02-08 15:53
万和城转租，280一个月，13069590535,2023-02-16 13:50
我微积分1重修，问问题型,2023-02-16 13:33
,2023-02-15 09:58
微信 qq同号:18639663552,2023-02-16 12:51
,2023-02-16 12:25
最快两天就能出票，比自己购买要便宜,2023-02-16 11:26
,2023-02-15 16:20
3,2023-02-15 18:52
,2023-02-16 10:57
有考研保研问题欢迎咨询,2023-02-16 10:26
以后想搞大数据分析，想知道研究生应用数学哪个二级学科是研究这方面的,2023-01-15 02:21
有个河南大数据研究院,2023-01-15 08:08
河南大数据研究院,2023-01-15 08:10
打扰了，出租次卧，自己房子，无中介费，郑州大学家属院，视野好，采光好，地铁口，盛和苑西门过马路就到郑州大学！拎包入住！24小时热水，空调家具家电齐全…wifi免费！15903627898  ，谢谢,2023-02-16 09:21
,2022-07-10 15:11
可以,2022-07-17 23:55
申请外宿,2022-08-16 15:20
疫情期间不可以了,2022-08-22 22:47
有没有出租校内宿舍床位的,2023-02-15 11:02
打扰了，出租次卧，自己房子，无中介费，郑州大学家属院，视野好，采光好，地铁口，盛和苑西门过马路就到郑州大学！拎包入住！24小时热水，空调家具家电齐全…wifi免费！15903627898  ，谢谢,2023-02-16 09:19
,2023-02-16 08:25
还差40经验到10级。怎么才能快速升级,2023-02-15 18:07
,2023-02-15 18:07
+3,2023-02-15 18:08
想水直说,2023-02-15 18:45
等我毕业我估计14级了,2023-02-15 19:17
,2023-02-15 19:30
,2023-02-16 08:32
8u们，23考研的鼠鼠想问下电气与信息工程学院的通信工程专硕复试都考哪几本书,2023-02-15 13:40
官网不就一本dsp吗，这是笔试的，剩下面试问的根本没局限，你只能好好复习一下本专业的主干课程。,2023-02-15 18:20
本人眼镜盒遗失，里面有一张绿色的擦镜布和一副黑框眼镜，擦镜布是直通车的，盒子记得没错的话应该是棕色带小熊样子的，以下是可能的地点，如有发现的有现金感谢,2023-02-15 19:58
本人已离校有偿请待办,2023-02-15 10:52
可以私我留联系方式,2023-02-15 21:46
考研求助，961材料化工专硕复试，是三本书都考吗,2023-02-15 19:58
召～兼～职---没有任何套路/～空闲时间来做就可以～赚点✘生活费！不求人，靠自己,2023-02-15 18:52
联系15132277565,2023-02-15 18:40
郑大新校区这边网球场对外开放吗？怎么进去？,2023-02-04 19:03
对学生都不公开,2023-02-05 08:37
郑大怎么进去,2023-02-05 10:45
有，围栏钻进去,2023-02-15 17:36
,2023-02-15 16:27
或者学校周边有没有,2023-02-15 16:24
,2023-02-15 15:39
请问：郑大图书馆对外开放吗？我住师新庄，想借点书，请问我怎样可以借到？麻烦大家支支招，感谢！,2023-01-02 12:13
不对外,2023-01-02 14:51
找个本校的人帮你借,2023-01-08 19:25
私信，我带你进去，不忽悠，我只想找个朋友，缓解备考之苦,2023-02-03 21:40
俺想问你你们那里有充电桩吗？俺们这里不好充电想去那充，借书只能找本校的帮忙借,2023-02-14 23:10
,2023-02-14 07:50
赢了,2023-02-14 08:09
,2023-02-14 08:09
,2023-02-14 08:48
,2023-02-14 09:10
这个我怎么进不去,2023-02-14 09:14
,2023-02-12 18:06
这里找学长学姐一个是不容易，还有一个不知道真假万一被骗了不划算，之前我身边就有人买资料被骗了几百，而且含金量不高，虽然钱不多，但是影响复习心情，如果家里条件还可以，家人也支持报班，可以考虑报个一对一辅导，有人监督靠谱一点，这样不仅可以知道重难点，还可以获取到资料，平时还可以答疑解惑，比自己摸索好很多，节约复习时间，更多的精力可以用在复习薄弱科目上面，我当时报的就是一对一，安排的是直系高分学姐一对一指导的，上课前看证件，真题资料都是学姐给我邮寄过来的，性价比挺高的，因为跨城市考，距离目标学校有点远，就上了直播一对一，还可以回放，上课也有重难点，平时也有班主任督学，对于公共课当时除了分享视频给我，还送了公共课资料和刷题题库，像政治主流老师的押题都有，英语也有真题和长难句分析，用起来很好，我当时报的是浩学考研，你也可以百度去他们官网了解。,2023-02-15 10:23
本🐭大一新生，选了一个营销策划，有不有热心8u告诉我这门课好不好过呀。,2023-02-08 22:42
不要🥚🐔铁扒,2023-02-08 22:42
没选过，但是帮顶,2023-02-08 23:24
,2023-02-15 14:54
给🐭🐭来个吧🥰🥰🥰,2022-07-14 20:33
偷的，偷的,2022-07-14 21:27
郑兵令,2022-07-14 22:39
,2022-07-15 09:41
,2022-07-15 11:15
喜欢我言指导🎓吗？,2022-07-15 11:43
,2022-07-15 12:29
散兵游勇罢了,2022-07-15 12:33
并不是不想要，只是拿不出手,2022-07-15 18:54
原耽，你为什么这么好看！！原耽，你为什么这么好看！！原耽，你为什么这么好看！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原耽，你为什么这么好看！！原耽，你为什么这么好看！！原耽，你为什么这么好看！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！原神，你为什么这么好玩！！去吗？去啊！这自由美利坚！啊啊啊啊啊！美国！肖战侮辱丁真老藏民，还说他爸卖电子烟的，给丁真骂哭了，于是他们俩打赌，转发这条文字给十个吧，肖战就给丁真道歉正确的，会谢的，栓Q的，yyds的，暴风吸入的，绝绝子的，属于是的，剁jiojio的，乌鱼子的，集美的，咱就是说的，退退退的别急的，抛开事实不谈的，9敏的QQ真的是太奇妙了，我忘了了我的身份证户口啥的，随便找了几个网络群就骂，然后满屏都飘着我的身份证户口信息。太谢谢QQ了，真的是太方便了就算再多人嘲笑，我也喜欢原神，啊啊啊啊啊啊玩我的原神！原神主宰世界万物！啊啊啊啊啊啊啊啊啊我的原神我的原神啊啊啊我的原神！！原神！！原神！！！！就算再多人嘲笑，我也喜欢原神，啊啊啊啊啊啊玩我的原神！原神主宰世界万物！啊啊啊啊啊啊啊啊啊我的原神我的原神啊啊啊我的原神！！原神！！原神！！！！就算再多人嘲笑，我也喜欢原神，啊啊啊啊啊啊玩我的原神！原神主宰世界万物！啊啊啊啊啊啊啊啊啊我的原神我的原神啊啊啊我的原神！！原神！！原神！！！！,2022-07-15 20:13
我这才是原创第一郑兵证，再偷必纠！,2022-07-27 15:15
这怎么办，没有开vpn呀,2023-02-15 13:51
,2023-02-12 16:49
急死了,2023-02-12 16:50
dd,2023-02-14 12:22
dd,2023-02-15 12:06
,2023-02-13 20:41
,2023-02-13 20:52
,2023-02-13 21:53
,2023-02-13 23:33
1,2023-02-14 01:06
应该会的,2023-02-14 08:10
,2023-02-14 09:17
,2023-02-14 09:25
,2023-02-15 11:53
签了富士康菁干班的同学来聊一聊吧,2015-11-14 12:14
楼主是通过校园招聘进的富士康吗？,2015-11-14 16:17
后悔了没有？楼主？,2015-11-14 16:21
聊什么？,2015-11-14 22:44
同学，还在富士康吗？,2023-02-15 11:01
有没有姐妹一起打九价的！,2023-02-15 10:56
大佬们，有木有知道中兵通信科技股份有限公司的啊，研究生待遇怎么样啊，求解答,2020-01-01 16:24
求助大佬,2020-01-01 16:25
同求，而且想问这个是不是国企？,2020-02-27 16:01
楼主签了吗,2020-05-13 20:25
你们看的是新乡总部，还是北分，武分的？,2020-06-17 19:23
中兵红箭分公司吧。卖卡车和军火的,2020-08-19 13:15
因为疫情原因，得三方协议去就业指导中心盖章签字，有偿，私信我,2022-09-21 18:02
dddd,2022-09-21 18:16
哥们看下私信,2023-02-15 10:50
各位大佬，带带,2023-02-13 23:35
呱,2023-02-14 10:12
呱,2023-02-15 10:25
我同学说可能我得重修了😭😭😭,2023-02-14 13:10
一直没关注过，今天突然发现别人都是九十多分,2023-02-14 13:13
如果平时分按0.4算，期末考93分才能过70,2023-02-14 13:15
如果没考到93是不是真的要挂，甚至重修了？,2023-02-14 13:17
🆙,2023-02-14 14:25
嗯嗯，平时分70倒数最后期末60多飘过,2023-02-14 14:49
不是60分及格吗,2023-02-14 18:53
学习通占比不高,2023-02-14 19:17
确实会,2023-02-14 21:11
老师会捞你的,2023-02-15 08:51
学校真的太无聊了,2021-11-26 20:27
马哥没人回帖啊,2021-11-28 01:29
我也想出去,2021-11-28 10:17
翻墙随便出,2022-10-19 16:55
幻想辣?,2022-10-19 18:46
,2023-02-14 19:49
现在扫码随便出校,2023-02-14 19:50
随便出,2023-02-15 09:33
今天上课老师说他是管我们院毕业证的 说我们院每届都有差不多十个人没有毕业证 按照绩点综合排名的话我就是最后的那十个 现在慌得一批 我该怎么办啊😭,2023-02-14 08:24
顶,2023-02-14 08:32
我记得2.2以下，没有学位证吧,2023-02-14 08:54
你就是我？,2023-02-14 11:11
哈人,2023-02-14 13:07
22届学长现身说法，是老师吓唬你的，我们学校不是末尾淘汰制，最后毕业证书和学位证拿到的条件是绩点2.0以上，且毕业挂科记录全清，我计算机院最后绩点2.1，专业倒数十名里面照样毕业,2023-02-14 13:47
毕业证基本上正常毕业都有，学位证这个就需要你最后毕业绩点到2.0了，还有就是平时的学校校选修院选修一定要早修够，我有的同学因为校选修院选修没满最后一学期又修了一门，但是毕业证学位证第一批发的时间是六月份，这个时候你的校选修院选修成绩是没出来的，因此不满足毕业条件，得等到八月份出成绩才能拿毕业证,2023-02-14 13:50
你这绩点这么低，别刷贴吧了，赶紧好好学吧,2023-02-14 20:31
13年老学渣特来求助，学位证和档案里的学位证明都有，但是学信网查不到学位认证报告，只有学历认证，打电话给学校档案馆，说是因为教务处没有上传学位信息，让给教务处打电话，但是从去年开始打教务处电话，一直都是正在通话中，但是上午过了11点半，下午过了5点打都是滴滴滴无人接听，非常准时。有没有同学和我一样学信网查不到学位的情况，或者可以联系到教务处的方式？,2023-02-14 21:43
淡季贴吧？打个🦶先,2023-02-14 23:12
,2023-02-14 22:13
,2023-02-14 08:10
社会闲杂人等禁止入内,2023-02-14 09:51
能登进打卡系统就随便进,2023-02-14 10:51
想进随便进，，， 不放心的话可以找你同学要个截图，， 根据我的观察进出校装模作样手机扫一下， 保安压根不看屏幕,2023-02-14 18:58
求解答~之前本科的时候不幸挂科了，但是都补考通过，没有进行学位重修。。成绩单我看都是60分，但是不知道档案里是否有挂科或者补考记录。。。,2017-10-17 16:03
挂科记录就是专门针对你这种情况的，不挂科，或者学位重修过的都没有挂科记录,2017-10-17 16:06
最后的成绩单都显示挂科情况的,2017-10-18 07:52
,2017-10-18 09:18
会显示一个补考的[B],2017-10-18 09:41
只有一次性考过才不会有挂科记录，，其余的都有。挂了就是挂了。除非潜规则。,2018-07-17 23:33
档案会记录挂科？？？头一次听说，是不是点名没到也会存在档案里？？？？,2018-12-08 16:24
每学期都有一次补考机会的，过了就不会写在档案里。若是没过就是毕业前补考，是会写进档案里的,2019-09-08 23:50
重修在档案里，挂的那门会把挂科的成绩，重修的成绩都登记上,2019-09-09 10:01
保研评奖会有影响 能查到 出了校门啥也查不到 没影响,2019-09-09 12:56
22年6月延毕后离校的，我的一门去年12月的重修过了，计划已经通过了，请问毕业证还需要等到8月吗？这个学期能申请毕业证吗？,2023-02-14 17:33
有无上岸地理学的师兄师姐，想请教下,2023-02-14 16:59
学校还能进车吗,2023-02-14 16:49
有合适的房源么，求推荐,2023-02-12 10:58
我不打算住了，单间，中苑名都,2023-02-14 16:44
需要的联系150831177897 我就是房东。,2023-02-14 16:44
北校区附近有什么好吃的比较多的地方吗？急急急,2023-02-14 16:37
想去郑州大西校区里边转转。让进不让？,2023-02-14 16:30
想去学校操场跑步,2023-01-09 11:11
同问,2023-01-09 12:02
恐怕不行，你专的管理一向滞后,2023-01-11 11:25
私信，我带你进去，不忽悠，我只想找个朋友，缓解备考之苦,2023-02-03 21:35
咱们学校有跑腿代办的团体或个人吗（查收查引业务）？推荐一下，谢谢！,2023-02-14 16:07
帮老师跑腿，明天找一个来主校区行政楼报账的人，最好号排在前面的，让咱蹭个方便。主要是网上约不到，北校区的也不想跑了，白跑好几天了。,2023-02-14 15:28
15年本打算去西藏 尼泊尔地震就只到了大理 现在30岁还一直想去西藏 这算是病吗,2022-12-28 21:11
我也一直想去看看,2022-12-28 21:28
我就不想去，到哪都是吃喝玩乐没啥意思,2023-02-14 13:52
挺好玩的，确实很美,2023-02-14 15:22
本校学生（女），下半年在北校区做实验，有没有闲置宿舍床位借住下，谢谢,2023-02-14 13:40
,2023-02-14 13:43
,2023-02-14 14:01
2022年考研生法律专硕（非法学）想知道专科郑大歧视吗？,2021-10-25 03:27
#考研自习室15318813551##郑州济南沈阳西安石家庄青岛设有校区##研友多多氛围好##可线下寄宿复习也有新增线上全程督导辅导#,2021-10-25 06:08
,2022-08-26 09:41
今年高三，走体育类专业，往届理科要达到多少分呀,2021-03-15 11:23
有需要的同学可以V我18395628055，价格优惠,2023-02-14 10:46
,2023-02-14 10:08
问了很多人，都不知道在哪,2023-02-13 20:45
会不会是生科院,2023-02-13 20:51
,2023-02-13 16:20
,2023-02-13 16:47
直接扔，别惯着,2023-02-13 16:49
,2023-02-13 16:52
25都开始了，真卷啊,2023-02-13 17:24
,2023-02-13 17:29
,2023-02-13 17:51
🥹🥹🥹,2023-02-13 17:59
哈人,2023-02-13 19:27
错误的，是已延顶真，鉴定为25考研捏,2023-02-13 20:35
🐮,2023-02-14 09:17
南校区的老师想过去打打乒乓球，是否需要办卡或者预约？各位同学平时打乒乓球都在哪里打？,2023-02-12 13:49
🔝,2023-02-12 13:54
主校区宿舍门口就有很多乒乓球台,2023-02-12 14:13
老师好,2023-02-12 14:13
去市区里面的俱乐部吧,2023-02-12 15:05
主校区打乒乓球的地方大概有3类。1.北体育馆，疫情之前是周六开放我记得，后来好像不对外开放了？我也不清楚2.有些院自己的楼里买的有乒乓球桌，可以在院里打3.住宿区室外的乒乓球台，这个需要经常捡球，台子也不太舒服，不过比较方便。,2023-02-12 16:00
帮表姐买一台笔记本电脑，预算两千以内，谁有二手笔记本想出的吗,2023-02-14 02:38
大二狗 感觉一辈子谈不了恋爱了,2023-02-11 03:51
打个🦶,2023-02-11 06:11
不谈就不谈呗 没啥大不了的,2023-02-11 08:20
细🔒,2023-02-11 09:03
没事的，没有了也很可爱,2023-02-11 09:57
来和我谈,2023-02-11 10:04
,2023-02-11 10:04
过来人：抓住机会，你可以的,2023-02-11 10:19
大四你就明白了，还真是,2023-02-11 17:58
打个郊县,2023-02-13 23:46
开学了又要为生活费发愁了,2023-02-13 23:40
私我+v,2023-02-13 23:41
我早上自行车放外语学院附近，下课我去看就没了。,2023-02-13 12:18
我同班同学的自行车昨天让偷了,2023-02-13 12:55
林子大了什么鸟都有,2023-02-13 14:04
没封之前一直都有人偷东西。只是这几年一直在封校，校外人员进不来，被偷的少了。之前还有人电脑（记不清是电脑还是平板了）在水环被偷了。,2023-02-13 19:27
有啊，我大一在南操上体育课，然后去柳园吃饭，但是车忘记🔒了，一回来就被塞拉斯了,2023-02-13 19:29
两年前就被偷了,2023-02-13 19:32
我也被偷了,2023-02-13 23:34
有的话看看你的,2022-10-16 00:02
没人？淡季贴吧？,2022-10-16 00:05
打个🦶先,2022-10-16 00:05
孩子锁寝室太无聊了，有没有人来聊聊天,2022-10-16 00:07
🐭🐭先睡了，明天还要给同学搬隔离餐呢,2022-10-16 00:10
,2022-10-16 11:00
看看你的,2022-10-16 17:02
不是不让养吗,2022-10-16 22:55
有，宿舍其他人养了🐭🐭我,2022-10-16 23:48
🐭🐭养的猫捏,2022-10-19 23:45
不用交电费,2022-10-25 14:32
寝室准备等解封了就养一只仓鼠捏,2022-10-25 16:22
,2022-10-26 07:45
养了个室友,2022-10-26 11:13
我是mkm养的狗,2022-10-26 17:35
养了只🐭🐭捏,2022-10-26 23:43
养了几个舍友,2022-10-27 09:03
,2023-02-13 22:38
,2023-02-11 00:04
,2023-02-11 09:07
怎么没人水,2023-02-11 09:44
别怕 培养的就是高素质废物,2023-02-11 10:22
这个郑州大学吧真的是太恶心人了，我在这里面就混了几天，整个人的思维差点就被完全带偏离了，把恶的一面险些展露了出来。我奉劝各位，网络是网络，现实是现实，如果分不清网络与现实，把网络带到现实里面的话，还是赶紧退吧！还好我醒悟的早，不然我的人生都得被郑州大学吧毁掉了....,2023-02-12 09:13
挣钱嘛 会有些要求的,2023-02-12 10:01
宝龙电子厂是吧，我这里有历年真题，独家押题密卷,2023-02-12 11:55
这个郑州大学吧真的是太恶心人了，我在这里面就混了几天，整个人的思维差点就被完全带偏离了，把恶的一面险些展露了出来。我奉劝各位，网络是网络，现实是现实，如果分不清网络与现实，把网络带到现实里面的话，还是赶紧退吧！还好我醒悟的早，不然我的人生都得被郑州大学吧毁掉了....,2023-02-12 12:15
问答题，原则上来讲，作为公司一员，我会配合公司要求，根据公司制度进行工作安排,2023-02-12 21:57
这不是传说中河南理综？,2023-02-13 12:52
,2023-02-13 22:25
求购工程管理专业  建设工程项目管理的书籍和习题，有简答和大题的最好。有偿,2023-02-13 21:12
想去大学找个工作  朋友们有推荐的吗,2023-02-13 21:19
咱们学校哪里可以订花么，或者有同学卖么,2023-02-13 20:28
周四晚上出发，周日晚上回来。（本人男）,2023-02-13 19:41
友友们！有没有机械方向就业群可以推荐吗,2023-02-13 19:16
郑州大学南校区研究生几人寝,2023-02-13 18:54
校外人士现在可以进出学校吗？,2023-02-13 18:36
求求了,2023-02-13 14:57
哥们被宽带搞怕了，和校园卡绑定还一学期600，真黑啊！,2023-02-13 17:28
不懂就问，郑带为啥还不能选课，今年选课系统为什么还不开,2023-02-02 12:21
定,2023-02-02 12:22
就上过一周线下课的大一表示很迷茫，这选课是有啥要注意的,2023-02-02 19:51
2.6院选，2.8校院，教务系统上有了,2023-02-02 20:57
一学期选了8门院选修，好多也就去了一节课,2023-02-03 13:10
几号开学来着？,2023-02-03 13:57
什么选课,2023-02-03 17:09
大一新生不懂，有无好心前辈介绍一下,2023-02-03 17:12
,2023-02-05 17:38
院选修有补选不?,2023-02-13 16:08
求求求，救救孩子,2022-12-25 16:48
没有的，老师从不外流,2022-12-25 20:25
你是哪个院的呀,2023-02-13 16:04
,2023-02-07 17:24
,2023-02-07 17:30
3,2023-02-07 18:15
学长是我们学校标本社团的吗？,2023-02-07 21:12
,2023-01-25 12:14
帮顶,2023-01-25 12:52
,2023-01-25 18:12
不清楚,2023-01-26 14:59
河工大站C口向南100米有个洞钻就完事了,2023-01-29 23:35
八年吧龄 从幼儿园就开始玩贴吧？,2023-02-08 00:11
这个东西22级新生也要选吗，我进去之后感觉选不上啊，假如选上了是要去别的学校上课吗？,2023-02-13 11:30
不是，这都是MOOC应该,2023-02-13 11:34
说的很清楚啊  去别的学校线下上课   大一有空可以试试,2023-02-13 12:09
你是不是在选课界面转圈圈？,2023-02-13 12:55
别选，外校生被恶心,2023-02-13 13:51
有没有一起报名文运法硕辅导班的研友呀？！,2021-05-31 16:43
难道是研友？,2023-02-13 13:32
丢车的宝宝请积极在下方留言。大家好，我现在大二，大一的时候买了一辆自行车代步，大一暑假放假的时候将车停在了图书馆东面专门停车的地方，回学校了之后发现车子不见了，奇怪的是，原来放车的地方周围其他的车好像也消失了一部分。我在周围找了六七遍，还是没找到。问了值班的保卫哥哥，说保卫处的在这个地方挪车挪了两次，不知道放到哪里了。接着，我就满学校的找，凡是放自行车的地方，我都找遍了，没有任何结果。给保卫处打电话，保卫处满口不知道搪塞。问了学校里面的居住的老师傅和工人，他们说车是保卫处的挪的，往年一般都会放在南操或其他地方，但今年好像都被变卖了，这让我吓了一跳，学校保卫处为什么这么干？是缺钱吗？我的车停在规定的地方，没挡道，没废弃，完好无损，咋地了，还侵犯我个人财产还假装不知道？我也想过可能是被偷了，但是，那么些人都看见了，这就说明问题了。保卫处自行挪车可不是一两回了，视别人的财产为垃圾？随处丢弃？南操那么多废弃自行车你咋不处理？保卫处那么多人没人想办法？郑大领导那么多一点法子也没有？私自清除自行车都已经遭到反对了，你们咋还不知道自己的问题呢？,2018-09-03 23:00
附议,2018-09-04 11:50
我的也丢了，三年啊,2018-09-08 20:19
录取通知书已经收到了,2022-07-25 15:50
新生群有知道在哪的吗,2022-07-25 16:34
恭喜,2022-07-25 19:50
是您还是您儿子……?！真了不得！恭喜啊！,2022-07-28 00:13
恭喜,2022-07-28 09:21
那么快，多少收到,2023-02-13 13:11
几号订单。几号收到的,2023-02-13 13:30
现在郑大能进去吗？毕业见面的老学长,2023-01-16 20:34
中国人只粉中国，无理由无原则 支持对中国有利的事情。比如说打杀日本吧，虽然说不人道吧，但只要是个正宗的中国人都支持，就连一百多年前的 李鸿章都大力提倡要灭了日本~~~如果打到日本岛一定很多人抢着参军。比如暗戳戳的限韩令吧，虽然违反WTO，但WTO只是个工具，跟国策相比算条毛啊，绝大部分中国人都支持打压棒子啊！,2023-01-16 21:56
外人无法进入  需要走申请  通过郑州大学移动校园APP,2023-01-17 15:57
可以开车带个在校生进去,2023-02-13 12:54
有已经返校的UU吗，打听一下需要什么步骤和证明，有偿。,2023-02-04 16:56
dd,2023-02-04 17:02
能进就可以了,2023-02-05 08:30
之前是系统申请返校要填14天体温检测还有核酸检测，现在应该不用了,2023-02-05 09:00
要有手机，要长腿,2023-02-13 11:31
rt，想问问正常嘛？,2023-02-13 08:30
嗯,2023-02-13 08:45
我也没出，急死了,2023-02-13 10:37
现在出了,2023-02-13 10:39
我的mooc智慧树都没出,2023-02-13 11:01
b站不知道怎么回事，最近冒出来一大堆不知真假的“老中医”，还有很多这种狂吹中医的。在他们眼里中医已经是玄学甚至神学了。b站干脆叫中医站算了。真的害怕得病的人被打着中医旗号的骗子哄骗了，耽误治疗时间。,2023-02-12 23:06
这种人才是对中医的伤害,2023-02-13 11:00
自己买的是生活，你买的才是浪漫，有需要的同学可以联系哈，价格肯定优惠。。。#情人节礼物分享互助##情人节#,2023-02-13 10:48
最好175+,2023-02-12 21:49
医学院单身汉不多的是,2023-02-12 22:16
,2023-02-13 04:39
建议来商院找,2023-02-13 07:53
本人已经毕业 想情人节偷偷进去看看我男朋友给他个惊喜 没有码不知道能不能进去,2023-02-13 04:30
这几天咳嗽打卡的时候填的有症状未感染，想着等几天咳嗽好了再去学校，谁知道院里到现在也不吭一声怎么延期返校，明天大部队就返校了我要是直接去还不知道能不能扫出来进校,2023-02-10 13:48
急急国王就是me,2023-02-10 13:49
院里的意思是，放心来,2023-02-11 07:55
疫情早放开了，这学校还不敢跟gj对着干，你直接来,2023-02-11 08:19
没开放的时候学校里隐藏的小洋人都不知道多少个了，现在开放了你怕个der,2023-02-11 12:47
郑州等通知大学,2023-02-13 02:12
为什么会有人打着卖书的旗号骗钱？有认识它的人吗？不认识的uu避雷,2023-02-13 01:57
真的很无语,2023-02-13 01:59
今天不设立个纪念日有点说不过去。,2023-02-11 19:02
吧里安静的像tsj,2023-02-13 00:13
去年12月的因为疫情取消了，今年三月有吗？,2023-02-13 00:11
🐭🐭的那两门一直没在教务系统里显示，本来我们学院校选课我还差3分，如果算上上学期那两门那就修满了，不用再修了，但是我的一直没出，新学期又开始选校选课了，不知道现在还要不要接着选，我那两门一个六十多一个七十多，不会因为分数太低两门挂了才一直不出现在教务系统里面吧,2023-02-12 20:35
没出,2023-02-12 21:20
我的也没出，但是智慧树上显示是70分,2023-02-12 23:07
有没有参加今年定向选调的,2023-02-12 20:46
研究生才可以,2023-02-12 22:17
这不是郑州大学 m吧吗，郑州有那么多大学，像河南理工，河南工业，难道不更值得讨论吗，怎么大家只对郑州大学感兴趣啊,2023-02-06 21:03
🤠,2023-02-06 23:42
,2023-02-07 12:02
,2023-02-07 12:48
,2023-02-07 12:52
出院！,2023-02-07 15:42
,2023-02-07 17:11
这里不是弱智吧,2023-02-07 18:35
,2023-02-07 18:39
,2023-02-07 20:54
你说的很对，我待会去中国人民大学贴吧问问，到底是个什么情况,2023-02-07 20:58
你说的对，但是河南理工在焦作,2023-02-07 21:35
加大剂量！,2023-02-08 00:03
,2023-02-08 00:27
,2023-02-08 08:27
正确的,2023-02-10 17:11
这个吧是讨论专科的，人家是本科,2023-02-12 22:08
耽误大家几分钟时间，请问有同学认识大一的于佳琪吗，这里只知道年级和姓名，不知道是哪个专业，如果有认识的同学请联系一下，vx:Love-Li-0806,2023-02-12 20:41
拜托各位了，事情十万火急,2023-02-12 20:41
感谢各位同学了,2023-02-12 20:42
请问下同学们。 现在以前毕业的可以进学校了嘛,2023-02-12 18:57
,2023-02-12 15:29
不是回学校吗，你赶着干嘛去,2023-02-12 16:40
去上学又不是抢亲,2023-02-12 16:51
有啥好急的,2023-02-12 18:11
我想问一下 ，郑大保险专硕这个专业课看什么书比较好？谢谢,2020-04-14 20:51
要不要考虑一下出国留学呢！,2020-04-15 09:57
